0,1,2,3,4,5,6,7,8,9,10
rolls/buns,oil,fruit/vegetable juice,,,,,,,,
chocolate marshmallow,brown bread,,,,,,,,,
turkey,seasonal products,,,,,,,,,
pastry,whole milk,,,,,,,,,
other vegetables,whole milk,,,,,,,,,
pet care,whole milk,curd,frozen vegetables,,,,,,,
canned beer,pip fruit,white bread,,,,,,,,
other vegetables,newspapers,,,,,,,,,
root vegetables,beef,whole milk,curd,,,,,,,
citrus fruit,white bread,,,,,,,,,
frankfurter,rolls/buns,rolls/buns,,,,,,,,
other vegetables,jam,cat food,fruit/vegetable juice,,,,,,,
chocolate,root vegetables,,,,,,,,,
beef,candy,,,,,,,,,
frankfurter,red/blush wine,,,,,,,,,
liquor,whole milk,,,,,,,,,
sugar,frozen vegetables,,,,,,,,,
frankfurter,rolls/buns,,,,,,,,,
dishes,yogurt,,,,,,,,,
UHT-milk,soda,,,,,,,,,
rolls/buns,pip fruit,,,,,,,,,
soda,margarine,,,,,,,,,
processed cheese,rolls/buns,oil,flour,,,,,,,
meat,sausage,baking powder,pastry,,,,,,,
bottled beer,rolls/buns,other vegetables,,,,,,,,
domestic eggs,other vegetables,,,,,,,,,
finished products,pip fruit,curd,pork,curd,whipped/sour cream,whole milk,,,,
shopping bags,white bread,ice cream,,,,,,,,
dessert,soda,pastry,whole milk,butter,rolls/buns,shopping bags,newspapers,,,
chicken,whole milk,,,,,,,,,
tropical fruit,coffee,canned vegetables,,,,,,,,
specialty chocolate,white bread,,,,,,,,,
hamburger meat,citrus fruit,whole milk,specialty bar,,,,,,,
sausage,fruit/vegetable juice,,,,,,,,,
other vegetables,whole milk,sliced cheese,,,,,,,,
female sanitary products,rolls/buns,,,,,,,,,
frankfurter,rolls/buns,,,,,,,,,
beef,whole milk,fruit/vegetable juice,hygiene articles,,,,,,,
bottled water,detergent,domestic eggs,yogurt,,,,,,,
root vegetables,soda,,,,,,,,,
frankfurter,other vegetables,,,,,,,,,
fruit/vegetable juice,whole milk,,,,,,,,,
whole milk,salty snack,,,,,,,,,
specialty chocolate,white wine,nuts/prunes,cream cheese ,cake bar,yogurt,frozen vegetables,,,,
coffee,UHT-milk,,,,,,,,,
citrus fruit,white bread,white bread,,,,,,,,
pip fruit,sliced cheese,fruit/vegetable juice,,,,,,,,
napkins,yogurt,,,,,,,,,
dessert,rolls/buns,,,,,,,,,
other vegetables,butter milk,chewing gum,specialty chocolate,,,,,,,
pot plants,newspapers,brown bread,,,,,,,,
liqueur,whole milk,,,,,,,,,
canned beer,other vegetables,,,,,,,,,
fruit/vegetable juice,brown bread,,,,,,,,,
soft cheese,sugar,,,,,,,,,
UHT-milk,other vegetables,cream cheese ,rolls/buns,,,,,,,
soda,sweet spreads,bottled beer,frozen meals,pasta,,,,,,
sliced cheese,cream cheese ,semi-finished bread,,,,,,,,
sausage,UHT-milk,,,,,,,,,
whole milk,domestic eggs,,,,,,,,,
root vegetables,frozen potato products,,,,,,,,,
margarine,berries,,,,,,,,,
tropical fruit,oil,,,,,,,,,
citrus fruit,other vegetables,dessert,bottled beer,,,,,,,
pastry,napkins,,,,,,,,,
bottled water,root vegetables,,,,,,,,,
other vegetables,herbs,,,,,,,,,
other vegetables,other vegetables,,,,,,,,,
rolls/buns,citrus fruit,pot plants,yogurt,roll products ,fruit/vegetable juice,,,,,
frankfurter,prosecco,,,,,,,,,
canned beer,whole milk,rolls/buns,,,,,,,,
processed cheese,dog food,frozen potato products,,,,,,,,
ham,pastry,whole milk,specialty bar,tropical fruit,hard cheese,yogurt,candy,,,
salty snack,white bread,,,,,,,,,
whipped/sour cream,detergent,,,,,,,,,
rolls/buns,tropical fruit,seasonal products,fruit/vegetable juice,,,,,,,
citrus fruit,rolls/buns,,,,,,,,,
beverages,sliced cheese,semi-finished bread,,,,,,,,
